product_ndc,brand_name,generic_name,labeler_name,product_type,dosage_form,route,marketing_category,marketing_start_date,marketing_end_date,active_ingredients,pharm_class,dea_schedule,finished,listing_expiration_date
0069-4190,Revatio,sildenafil citrate,PFIZER LABORATORIES DIV PFIZER INC,HUMAN PRESCRIPTION DRUG,"TABLET, FILM COATED",ORAL,NDA,20050603,20290430,SILDENAFIL CITRATE (20 mg/1),Phosphodiesterase 5 Inhibitor [EPC]; Phosphodiesterase 5 Inhibitors [MoA],,True,
60793-116,Cytomel,liothyronine sodium,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,NDA,19560508,,LIOTHYRONINE SODIUM (25 ug/1),Triiodothyronine [CS]; l-Triiodothyronine [EPC],,True,20271231
0008-0844,Protonix Delayed-Release,PANTOPRAZOLE SODIUM,"Wyeth Pharmaceuticals LLC, a subsidiary of Pfizer Inc.",HUMAN PRESCRIPTION DRUG,"GRANULE, DELAYED RELEASE",ORAL,NDA,20080229,,PANTOPRAZOLE SODIUM (40 mg/1),Proton Pump Inhibitor [EPC]; Proton Pump Inhibitors [MoA],,True,20271231
60793-117,Cytomel,liothyronine sodium,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,NDA,19560508,,LIOTHYRONINE SODIUM (50 ug/1),Triiodothyronine [CS]; l-Triiodothyronine [EPC],,True,20271231
0046-1103,Premarin,"estrogens, conjugated","Wyeth Pharmaceuticals LLC, a subsidiary of Pfizer Inc.",HUMAN PRESCRIPTION DRUG,"TABLET, FILM COATED",ORAL,NDA,20060101,,"ESTROGENS, CONJUGATED (.9 mg/1)",Estrogen Receptor Agonists [MoA]; Estrogen [EPC]; Estrogens; Conjugated (USP) [CS],,True,20271231
0013-2596,Idamycin PFS,idarubicin hydrochloride,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,SOLUTION,INTRAVENOUS,NDA,19970217,,IDARUBICIN HYDROCHLORIDE (1 mg/mL),Anthracycline Topoisomerase Inhibitor [EPC]; Anthracyclines [CS]; Topoisomerase Inhibitors [MoA],,True,20271231
60793-205,THROMBIN-JMI,"thrombin, topical (bovine)",Pfizer Laboratories Div Pfizer Inc,PLASMA DERIVATIVE,KIT,,BLA,19950224,,,,,True,20271231
0069-0136,BOSULIF,Bosutinib,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,"TABLET, FILM COATED",ORAL,NDA,20120904,,BOSUTINIB MONOHYDRATE (500 mg/1),Bcr-Abl Tyrosine Kinase Inhibitors [MoA]; Kinase Inhibitor [EPC],,True,20271231
60793-215,THROMBIN-JMI,"thrombin, topical (bovine)",Pfizer Laboratories Div Pfizer Inc,PLASMA DERIVATIVE,KIT,,BLA,19950224,,,,,True,20271231
60793-217,THROMBIN-JMI,"thrombin, topical (bovine)",Pfizer Laboratories Div Pfizer Inc,PLASMA DERIVATIVE,KIT,,BLA,19950224,,,,,True,20271231
0069-0454,Talzenna,talazoparib,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,"CAPSULE, LIQUID FILLED",ORAL,NDA,20240417,,TALAZOPARIB TOSYLATE (.35 mg/1),Poly(ADP-Ribose) Polymerase Inhibitor [EPC]; Poly(ADP-Ribose) Polymerase Inhibitors [MoA],,True,20271231
0069-1558,Panzyga,immune globulin intravenous (human),Pfizer Laboratories Div Pfizer Inc,PLASMA DERIVATIVE,SOLUTION,INTRAVENOUS,BLA,20190809,,HUMAN IMMUNOGLOBULIN G (100 mg/mL),Antigen Neutralization [MoA]; Human Immunoglobulin G [EPC]; Immunoglobulins [CS]; Passively Acquired Immunity [PE],,True,20271231
60793-600,BICILLIN CR,penicillin G benzathine and penicillin G procaine,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,"INJECTION, SUSPENSION",INTRAMUSCULAR,NDA,19530518,,PENICILLIN G BENZATHINE (600000 [iU]/2mL); PENICILLIN G PROCAINE (600000 [iU]/2mL),Penicillin-class Antibacterial [EPC]; Penicillin-class Antibacterial [EPC]; Penicillins [CS]; Penicillins [CS],,True,20271231
0069-7654,Caduet,amlodipine and atorvastatin,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,"TABLET, FILM COATED",ORAL,NDA,20220831,,AMLODIPINE BESYLATE (10 mg/1); ATORVASTATIN CALCIUM TRIHYDRATE (40 mg/1),Calcium Channel Antagonists [MoA]; Calcium Channel Blocker [EPC]; Cytochrome P450 3A Inhibitors [MoA]; Dihydropyridine Calcium Channel Blocker [EPC]; Dihydropyridines [CS]; HMG-CoA Reductase Inhibitor [EPC]; Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA],,True,20271231
53869-0076,,doxazosin,Pfizer Manufacturing Deutschland GmbH,DRUG FOR FURTHER PROCESSING,TABLET,,DRUG FOR FURTHER PROCESSING,20250308,,DOXAZOSIN MESYLATE (4 mg/1),,,False,20271231
60793-601,BICILLIN CR,penicillin G benzathine and penicillin G procaine,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,"INJECTION, SUSPENSION",INTRAMUSCULAR,NDA,19530518,,PENICILLIN G BENZATHINE (600000 [iU]/2mL); PENICILLIN G PROCAINE (600000 [iU]/2mL),Penicillin-class Antibacterial [EPC]; Penicillin-class Antibacterial [EPC]; Penicillins [CS]; Penicillins [CS],,True,20271231
53869-0131,,lorlatinib,Pfizer Manufacturing Deutschland GmbH (Betriebssttte Freiburg),DRUG FOR FURTHER PROCESSING,"TABLET, FILM COATED",,DRUG FOR FURTHER PROCESSING,20180805,,LORLATINIB (25 mg/1),,,False,20261231
0069-0274,Velsipity,etrasimod,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,"TABLET, FILM COATED",ORAL,NDA,20231019,,ETRASIMOD ARGININE (2 mg/1),Sphingosine 1-Phosphate Receptor Modulators [MoA]; Sphingosine 1-phosphate Receptor Modulator [EPC],,True,20261231
53869-0334,,ritlecitinib,Pfizer Manufacturing Deutschland GmbH,DRUG FOR FURTHER PROCESSING,CAPSULE,,DRUG FOR FURTHER PROCESSING,20230613,,RITLECITINIB TOSYLATE (50 mg/1),,,False,20261231
60793-602,BICILLIN C-R 900/300,penicillin G benzathine and penicillin G procaine,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,"INJECTION, SUSPENSION",INTRAMUSCULAR,NDA,19530518,,PENICILLIN G BENZATHINE (900000 [iU]/2mL); PENICILLIN G PROCAINE (300000 [iU]/2mL),Penicillin-class Antibacterial [EPC]; Penicillin-class Antibacterial [EPC]; Penicillins [CS]; Penicillins [CS],,True,20271231
53869-0893,,apixaban,Pfizer Manufacturing Deutschland GmbH,DRUG FOR FURTHER PROCESSING,"TABLET, FILM COATED",,DRUG FOR FURTHER PROCESSING,20230313,,APIXABAN (2.5 mg/1),,,False,20261231
0025-1031,Aldactone,spironolactone,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,"TABLET, FILM COATED",ORAL,NDA,19600121,,SPIRONOLACTONE (100 mg/1),Aldosterone Antagonist [EPC]; Aldosterone Antagonists [MoA],,True,20261231
60793-700,BICILLIN L-A,penicillin G benzathine,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,"INJECTION, SUSPENSION",INTRAMUSCULAR,NDA,19520627,,PENICILLIN G BENZATHINE (600000 [iU]/mL),Penicillin-class Antibacterial [EPC]; Penicillins [CS],,True,20261231
0069-1195,Talzenna,talazoparib,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,CAPSULE,ORAL,NDA,20181026,20270831,TALAZOPARIB TOSYLATE (1 mg/1),Poly(ADP-Ribose) Polymerase Inhibitor [EPC]; Poly(ADP-Ribose) Polymerase Inhibitors [MoA],,True,
0069-5317,Paxlovid,nirmatrelvir and ritonavir,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,KIT,,NDA,20231018,,,,,True,20271231
53869-0894,,apixaban,Pfizer Manufacturing Deutschland GmbH,DRUG FOR FURTHER PROCESSING,"TABLET, FILM COATED",,DRUG FOR FURTHER PROCESSING,20221118,,APIXABAN (5 mg/1),,,False,20261231
60793-701,BICILLIN L-A,penicillin G benzathine,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,"INJECTION, SUSPENSION",INTRAMUSCULAR,NDA,19520627,,PENICILLIN G BENZATHINE (1200000 [iU]/2mL),Penicillin-class Antibacterial [EPC]; Penicillins [CS],,True,20261231
53869-1010,,PREGABALIN,Pfizer Manufacturing Deutschland GmbH,DRUG FOR FURTHER PROCESSING,CAPSULE,,DRUG FOR FURTHER PROCESSING,20041230,,PREGABALIN (200 mg/1),,CV,False,20261231
0008-4001,Protonix I.V.,PANTOPRAZOLE SODIUM,"Wyeth Pharmaceuticals LLC, a subsidiary of Pfizer Inc.",HUMAN PRESCRIPTION DRUG,"INJECTION, POWDER, FOR SOLUTION",INTRAVENOUS,NDA,20130501,,PANTOPRAZOLE SODIUM (40 mg/10mL),Proton Pump Inhibitor [EPC]; Proton Pump Inhibitors [MoA],,True,20261231
60793-702,BICILLIN L-A,penicillin G benzathine,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,"INJECTION, SUSPENSION",INTRAMUSCULAR,NDA,19520627,,PENICILLIN G BENZATHINE (2400000 [iU]/4mL),Penicillin-class Antibacterial [EPC]; Penicillins [CS],,True,20261231
42816-0017,,triazolam,Pfizer Ireland Pharmaceuticals Unlimited Company,DRUG FOR FURTHER PROCESSING,TABLET,,DRUG FOR FURTHER PROCESSING,20211001,,TRIAZOLAM (.25 mg/1),,CIV,False,20261231
53869-1011,,PREGABALIN,Pfizer Manufacturing Deutschland GmbH,DRUG FOR FURTHER PROCESSING,CAPSULE,,DRUG FOR FURTHER PROCESSING,20041230,,PREGABALIN (100 mg/1),,CV,False,20261231
0013-2653,GENOTROPIN,somatropin,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,KIT,,BLA,19951220,,,,,True,20271231
60793-705,THROMBIN-JMI,"thrombin, topical (bovine)",Pfizer Laboratories Div Pfizer Inc,PLASMA DERIVATIVE,KIT,,BLA,19950224,,,,,True,20271231
0069-0195,Fragmin,Dalteparin Sodium,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,INJECTION,SUBCUTANEOUS,NDA,20150401,,DALTEPARIN SODIUM (2500 [iU]/.2mL),Anti-coagulant [EPC]; Heparin; Low-Molecular-Weight [CS]; Low Molecular Weight Heparin [EPC],,True,20261231
42816-0029,,alprazolam,Pfizer Ireland Pharmaceuticals Unlimited Company,DRUG FOR FURTHER PROCESSING,TABLET,,DRUG FOR FURTHER PROCESSING,19811016,,ALPRAZOLAM (.25 mg/1),,CIV,False,20261231
53869-1012,,PREGABALIN,Pfizer Manufacturing Deutschland GmbH,DRUG FOR FURTHER PROCESSING,CAPSULE,,DRUG FOR FURTHER PROCESSING,20041230,,PREGABALIN (25 mg/1),,CV,False,20261231
60793-850,LEVOXYL,levothyroxine sodium,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,NDA,20010525,,LEVOTHYROXINE SODIUM (25 ug/1),Thyroxine [CS]; l-Thyroxine [EPC],,True,20261231
0069-0504,BOSULIF,Bosutinib,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,CAPSULE,ORAL,NDA,20240102,,BOSUTINIB MONOHYDRATE (50 mg/1),Bcr-Abl Tyrosine Kinase Inhibitors [MoA]; Kinase Inhibitor [EPC],,True,20271231
42816-0052,,ziprasidone hydrochloride,Pfizer Ireland Pharmaceuticals Unlimited Company,DRUG FOR FURTHER PROCESSING,CAPSULE,,DRUG FOR FURTHER PROCESSING,20131101,,ZIPRASIDONE HYDROCHLORIDE (20 mg/1),,,False,20271231
60793-851,LEVOXYL,levothyroxine sodium,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,NDA,20010525,,LEVOTHYROXINE SODIUM (50 ug/1),Thyroxine [CS]; l-Thyroxine [EPC],,True,20261231
0069-2465,Abrysvo,Respiratory Syncytial Virus Vaccine,Pfizer Laboratories Div Pfizer Inc,VACCINE,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAMUSCULAR,BLA,20240730,,RECOMBINANT STABILIZED RSV A PREFUSION F ANTIGEN (.06 mg/.5mL); RECOMBINANT STABILIZED RSV B PREFUSION F ANTIGEN (.06 mg/.5mL),,,True,20261231
42816-0054,,ziprasidone hydrochloride,Pfizer Ireland Pharmaceuticals Unlimited Company,DRUG FOR FURTHER PROCESSING,CAPSULE,,DRUG FOR FURTHER PROCESSING,20131101,,ZIPRASIDONE HYDROCHLORIDE (40 mg/1),,,False,20271231
53869-1013,,PREGABALIN,Pfizer Manufacturing Deutschland GmbH,DRUG FOR FURTHER PROCESSING,CAPSULE,,DRUG FOR FURTHER PROCESSING,20041230,,PREGABALIN (50 mg/1),,CV,False,20261231
60793-852,LEVOXYL,levothyroxine sodium,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,NDA,20010525,,LEVOTHYROXINE SODIUM (75 ug/1),Thyroxine [CS]; l-Thyroxine [EPC],,True,20261231
42816-0055,,alprazolam,Pfizer Ireland Pharmaceuticals Unlimited Company,DRUG FOR FURTHER PROCESSING,TABLET,,DRUG FOR FURTHER PROCESSING,19811016,,ALPRAZOLAM (.5 mg/1),,CIV,False,20261231
0069-8476,Octagam Immune Globulin (Human),Immune Globulin,Pfizer Laboratories Div Pfizer Inc,PLASMA DERIVATIVE,SOLUTION,INTRAVENOUS,BLA,20231113,,HUMAN IMMUNOGLOBULIN G (50 mg/mL),Antigen Neutralization [MoA]; Human Immunoglobulin G [EPC]; Immunoglobulins [CS]; Passively Acquired Immunity [PE],,True,20261231
53869-1014,,PREGABALIN,Pfizer Manufacturing Deutschland GmbH,DRUG FOR FURTHER PROCESSING,CAPSULE,,DRUG FOR FURTHER PROCESSING,20041230,,PREGABALIN (75 mg/1),,CV,False,20261231
60793-853,LEVOXYL,levothyroxine sodium,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,NDA,20010525,,LEVOTHYROXINE SODIUM (88 ug/1),Thyroxine [CS]; l-Thyroxine [EPC],,True,20261231
42816-0056,,ziprasidone hydrochloride,Pfizer Ireland Pharmaceuticals Unlimited Company,DRUG FOR FURTHER PROCESSING,CAPSULE,,DRUG FOR FURTHER PROCESSING,20131101,,ZIPRASIDONE HYDROCHLORIDE (60 mg/1),,,False,20271231
53869-1016,,PREGABALIN,Pfizer Manufacturing Deutschland GmbH,DRUG FOR FURTHER PROCESSING,CAPSULE,,DRUG FOR FURTHER PROCESSING,20041230,,PREGABALIN (150 mg/1),,CV,False,20261231
60793-854,LEVOXYL,levothyroxine sodium,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,NDA,20010525,,LEVOTHYROXINE SODIUM (100 ug/1),Thyroxine [CS]; l-Thyroxine [EPC],,True,20261231
0069-0296,Talzenna,talazoparib,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,CAPSULE,ORAL,NDA,20181026,20270131,TALAZOPARIB TOSYLATE (.25 mg/1),Poly(ADP-Ribose) Polymerase Inhibitor [EPC]; Poly(ADP-Ribose) Polymerase Inhibitors [MoA],,True,
42816-0057,,alprazolam,Pfizer Ireland Pharmaceuticals Unlimited Company,DRUG FOR FURTHER PROCESSING,"TABLET, EXTENDED RELEASE",,DRUG FOR FURTHER PROCESSING,20220302,,ALPRAZOLAM (.5 mg/1),,CIV,False,20261231
53869-1018,,PREGABALIN,Pfizer Manufacturing Deutschland GmbH,DRUG FOR FURTHER PROCESSING,CAPSULE,,DRUG FOR FURTHER PROCESSING,20041230,,PREGABALIN (300 mg/1),,CV,False,20261231
0069-1309,RETACRIT,epoetin alfa-epbx,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,"INJECTION, SOLUTION",INTRAVENOUS; SUBCUTANEOUS,BLA,20180618,,EPOETIN (40000 [iU]/mL),Erythropoiesis-stimulating Agent [EPC]; Erythropoietin [CS]; Increased Erythroid Cell Production [PE],,True,20261231
42816-0058,,ziprasidone hydrochloride,Pfizer Ireland Pharmaceuticals Unlimited Company,DRUG FOR FURTHER PROCESSING,CAPSULE,,DRUG FOR FURTHER PROCESSING,20131101,,ZIPRASIDONE HYDROCHLORIDE (80 mg/1),,,False,20271231
53869-1019,,PREGABALIN,Pfizer Manufacturing Deutschland GmbH,DRUG FOR FURTHER PROCESSING,CAPSULE,,DRUG FOR FURTHER PROCESSING,20041230,,PREGABALIN (225 mg/1),,CV,False,20261231
0025-2732,Norpace CR,disopyramide phosphate,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,"CAPSULE, EXTENDED RELEASE",ORAL,NDA,19820720,,DISOPYRAMIDE PHOSPHATE (100 mg/1),Antiarrhythmic [EPC],,True,20271231
60793-855,LEVOXYL,levothyroxine sodium,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,NDA,20010525,,LEVOTHYROXINE SODIUM (112 ug/1),Thyroxine [CS]; l-Thyroxine [EPC],,True,20261231
42816-0059,,alprazolam,Pfizer Ireland Pharmaceuticals Unlimited Company,DRUG FOR FURTHER PROCESSING,"TABLET, EXTENDED RELEASE",,DRUG FOR FURTHER PROCESSING,20220315,,ALPRAZOLAM (1 mg/1),,CIV,False,20261231
53869-1043,,lorlatinib,Pfizer Manufacturing Deutschland GmbH (Betriebssttte Freiburg),DRUG FOR FURTHER PROCESSING,"TABLET, FILM COATED",,DRUG FOR FURTHER PROCESSING,20180805,,LORLATINIB (100 mg/1),,,False,20261231
60793-856,LEVOXYL,levothyroxine sodium,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,NDA,20010525,,LEVOTHYROXINE SODIUM (125 ug/1),Thyroxine [CS]; l-Thyroxine [EPC],,True,20261231
0069-5800,Tikosyn,dofetilide,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,CAPSULE,ORAL,NDA,19991001,,DOFETILIDE (.125 mg/1),Antiarrhythmic [EPC],,True,20271231
53869-1235,,abrocitinib,Pfizer Manufacturing Deutschland GmbH,DRUG FOR FURTHER PROCESSING,"TABLET, FILM COATED",,DRUG FOR FURTHER PROCESSING,20201027,,ABROCITINIB (50 mg/1),,,False,20261231
60793-857,LEVOXYL,levothyroxine sodium,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,NDA,20010525,,LEVOTHYROXINE SODIUM (137 ug/1),Thyroxine [CS]; l-Thyroxine [EPC],,True,20261231
42816-0066,,alprazolam,Pfizer Ireland Pharmaceuticals Unlimited Company,DRUG FOR FURTHER PROCESSING,"TABLET, EXTENDED RELEASE",,DRUG FOR FURTHER PROCESSING,20220324,,ALPRAZOLAM (2 mg/1),,CIV,False,20261231
53869-1335,,abrocitinib,Pfizer Manufacturing Deutschland GmbH,DRUG FOR FURTHER PROCESSING,"TABLET, FILM COATED",,DRUG FOR FURTHER PROCESSING,20201027,,ABROCITINIB (100 mg/1),,,False,20261231
60793-858,LEVOXYL,levothyroxine sodium,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,NDA,20010525,,LEVOTHYROXINE SODIUM (150 ug/1),Thyroxine [CS]; l-Thyroxine [EPC],,True,20261231
0069-0223,Fragmin,Dalteparin Sodium,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,INJECTION,SUBCUTANEOUS,NDA,20150401,,DALTEPARIN SODIUM (15000 [iU]/.6mL),Anti-coagulant [EPC]; Heparin; Low-Molecular-Weight [CS]; Low Molecular Weight Heparin [EPC],,True,20261231
10829-0008,,orforglipron,Pfizer Italia S.r.l.,DRUG FOR FURTHER PROCESSING,"TABLET, FILM COATED",,DRUG FOR FURTHER PROCESSING,20260413,,ORFORGLIPRON CALCIUM (.8 mg/1),,,False,20271231
42816-0068,,alprazolam,Pfizer Ireland Pharmaceuticals Unlimited Company,DRUG FOR FURTHER PROCESSING,"TABLET, EXTENDED RELEASE",,DRUG FOR FURTHER PROCESSING,20220211,,ALPRAZOLAM (3 mg/1),,CIV,False,20261231
53869-1435,,abrocitinib,Pfizer Manufacturing Deutschland GmbH,DRUG FOR FURTHER PROCESSING,"TABLET, FILM COATED",,DRUG FOR FURTHER PROCESSING,20201027,,ABROCITINIB (200 mg/1),,,False,20261231
60793-859,LEVOXYL,levothyroxine sodium,Pfizer Laboratories Div Pfizer Inc,HUMAN PRESCRIPTION DRUG,TABLET,ORAL,NDA,20010525,,LEVOTHYROXINE SODIUM (175 ug/1),Thyroxine [CS]; l-Thyroxine [EPC],,True,20261231
10829-0025,,orforglipron,Pfizer Italia S.r.l.,DRUG FOR FURTHER PROCESSING,"TABLET, FILM COATED",,DRUG FOR FURTHER PROCESSING,20260521,,ORFORGLIPRON CALCIUM (2.5 mg/1),,,False,20271231
